iter	Passed	Remaining
253	511	1501
254	512	1496
255	513	1490
256	513	1485
257	514	1479
258	515	1474
259	515	1468
260	516	1463
261	517	1459
262	518	1454
263	519	1449
264	520	1443
265	521	1438
266	522	1433
267	522	1428
268	523	1423
269	524	1419
270	525	1414
271	526	1408
272	527	1403
273	527	1398
274	528	1393
275	529	1388
276	530	1384
277	531	1380
278	532	1375
279	532	1370
280	533	1365
281	534	1360
282	535	1355
283	536	1351
284	537	1347
285	537	1342
286	538	1338
287	539	1333
288	540	1328
289	540	1324
290	541	1319
291	542	1315
292	543	1311
293	544	1307
294	545	1303
295	546	1298
296	546	1294
297	547	1290
298	548	1285
299	549	1281
300	550	1277
301	550	1273
302	551	1269
303	552	1264
304	553	1260
305	553	1256
306	554	1252
307	555	1248
308	556	1244
309	557	1240
310	558	1236
311	558	1232
312	559	1228
313	560	1224
314	561	1221
315	562	1218
316	563	1214
317	564	1210
318	565	1206
319	566	1203
320	566	1199
321	567	1195
322	568	1192
323	569	1188
324	570	1184
325	571	1181
326	572	1177
327	573	1173
328	573	1170
329	574	1166
330	575	1163
331	576	1159
332	577	1155
333	577	1151
334	578	1148
335	579	1144
336	579	1140
337	580	1137
338	581	1134
339	582	1130
340	583	1127
341	583	1123
342	584	1119
343	585	1116
344	586	1113
345	587	1110
346	588	1106
347	588	1103
348	589	1099
349	590	1096
350	591	1092
351	591	1089
352	592	1086
353	593	1083
354	594	1080
355	595	1076
356	596	1073
357	597	1070
358	597	1067
359	598	1064
360	599	1061
361	600	1058
362	601	1054
363	602	1051
364	602	1048
365	603	1045
366	604	1043
367	605	1040
368	606	1037
369	607	1034
370	608	1031
371	609	1028
372	610	1025
373	610	1022
374	611	1019
375	612	1016
376	613	1013
377	614	1010
378	615	1007
379	616	1005
380	617	1002
381	617	999
382	618	996
383	619	994
384	620	991
385	621	988
386	622	985
387	622	982
388	623	979
389	624	976
390	625	974
391	626	971
392	626	968
393	627	965
394	628	962
395	629	959
396	629	956
397	631	954
398	631	951
399	632	949
400	633	946
401	634	943
402	635	940
403	635	938
404	636	935
405	637	932
406	638	930
407	639	927
408	639	924
409	640	921
410	641	919
411	641	916
412	642	913
413	643	911
414	644	908
415	645	905
416	645	902
417	646	900
418	647	897
419	648	894
420	648	892
421	649	890
422	650	887
423	651	884
424	652	882
425	652	879
426	653	877
427	654	874
428	654	871
429	655	869
430	656	866
431	657	864
432	658	862
433	659	859
434	659	857
435	660	854
436	661	852
437	662	849
438	663	847
439	663	845
440	664	842
441	665	840
442	666	837
443	666	835
444	667	832
445	668	830
446	669	828
447	670	825
448	671	823
449	671	821
450	672	819
451	673	816
452	674	814
453	675	812
454	676	810
455	677	808
456	678	806
457	679	803
458	679	801
459	680	799
460	681	797
461	682	794
462	683	792
463	683	790
464	684	787
465	685	785
466	686	783
467	687	781
468	688	779
469	689	777
470	690	775
471	691	773
472	692	771
473	693	769
474	694	767
475	695	765
476	696	763
477	696	761
478	697	758
479	698	756
480	699	754
481	700	753
482	701	750
483	702	749
484	703	747
485	704	745
486	705	743
487	706	741
488	707	739
489	708	737
490	709	735
491	710	733
492	711	731
493	712	729
494	713	727
495	713	725
496	714	723
497	715	721
498	716	719
499	716	716
500	717	714
501	718	712
502	719	710
503	720	708
504	720	706
505	721	704
506	722	702
507	723	700
508	724	698
509	725	696
510	726	694
511	726	692
512	727	690
513	728	688
514	729	686
515	729	684
516	730	682
517	731	681
518	732	679
519	733	677
520	734	674
521	734	672
522	735	670
523	736	668
524	737	667
525	738	665
526	738	663
527	739	661
528	740	659
529	741	657
530	741	655
531	742	653
532	743	651
533	744	649
534	745	647
535	745	645
536	746	643
537	747	641
538	748	639
539	748	637
540	749	636
541	750	634
542	751	632
543	752	630
544	753	628
545	753	626
546	754	624
547	755	622
548	756	621
549	756	619
550	757	617
551	758	615
552	759	613
553	759	611
554	760	609
555	761	608
556	762	606
557	763	604
558	763	602
559	764	600
560	765	598
561	766	597
562	766	595
563	767	593
564	768	591
565	769	589
566	770	588
567	770	586
568	771	584
569	772	582
570	773	580
571	773	579
572	774	577
573	775	575
574	776	573
575	777	571
576	777	570
577	778	568
578	779	566
579	779	564
580	780	562
581	781	561
582	782	559
583	783	557
584	783	556
585	784	554
586	785	552
587	785	550
588	786	548
589	787	547
590	788	545
591	789	543
592	789	542
593	790	540
594	791	538
595	792	536
596	792	535
597	793	533
598	794	531
599	795	530
600	796	528
601	796	526
602	797	525
603	798	523
604	799	521
605	799	520
606	800	518
607	801	516
608	802	515
609	803	513
610	804	512
611	805	510
612	806	508
613	807	507
614	808	505
615	808	504
616	809	502
617	810	500
618	810	499
619	811	497
620	812	496
621	813	494
622	814	493
623	815	491
624	816	489
625	817	488
626	818	486
627	818	484
628	819	483
629	820	481
630	821	480
631	822	478
632	822	477
633	823	475
634	824	473
635	825	472
636	826	470
637	826	469
638	827	467
639	828	466
640	829	464
641	830	462
642	830	461
643	831	459
644	832	458
645	833	456
646	834	455
647	834	453
648	835	451
649	836	450
650	836	448
651	837	447
652	838	445
653	839	444
654	840	442
655	840	440
656	841	439
657	842	437
658	843	436
659	844	434
660	845	433
661	846	431
662	846	430
663	847	428
664	848	427
665	848	425
666	849	424
667	850	422
668	851	421
669	852	419
670	852	418
671	853	416
672	854	415
673	854	413
674	855	411
675	856	410
676	857	409
677	858	407
678	858	406
679	859	404
680	860	403
681	861	401
682	861	399
683	862	398
684	863	397
685	864	395
686	864	394
687	865	392
688	866	391
689	867	389
690	867	388
691	868	386
692	869	385
693	870	383
694	871	382
695	872	380
696	872	379
697	873	377
698	874	376
699	874	374
700	875	373
701	876	372
702	877	370
703	878	369
704	879	367
705	879	366
706	880	365
707	881	363
708	882	362
709	883	360
710	884	359
711	885	358
712	885	356
713	886	355
714	887	353
715	888	352
716	889	351
717	890	349
718	891	348
719	891	346
720	892	345
721	893	343
722	893	342
723	894	341
724	895	339
725	896	338
726	897	337
727	898	335
728	899	334
729	900	332
730	900	331
731	901	330
732	902	328
733	903	327
734	904	325
735	904	324
736	905	323
737	906	321
738	907	320
739	908	319
740	909	317
741	909	316
742	910	314
743	911	313
744	912	312
745	912	310
746	913	309
747	914	308
748	915	306
749	916	305
750	917	304
751	917	302
752	918	301
753	919	299
754	920	298
755	921	297
756	921	295
757	922	294
758	923	293
759	924	291
760	924	290
761	925	289
762	926	287
763	927	286
764	928	285
765	928	283
766	929	282
767	930	281
768	931	279
769	931	278
770	932	276
771	933	275
772	934	274
773	935	273
774	935	271
775	936	270
776	937	268
777	937	267
778	938	266
779	939	265
780	940	263
781	941	262
782	941	261
783	942	259
784	943	258
785	944	257
786	944	255
787	945	254
788	946	253
789	947	251
790	948	250
791	948	249
792	949	247
793	950	246
794	951	245
795	951	243
796	952	242
797	953	241
798	954	240
799	955	238
800	955	237
801	956	236
802	957	234
803	958	233
804	959	232
805	960	231
806	960	229
807	961	228
808	962	227
809	962	225
810	963	224
811	964	223
812	965	222
813	966	220
814	967	219
815	967	218
816	968	216
817	969	215
818	970	214
819	971	213
820	972	211
821	972	210
822	973	209
823	974	208
824	974	206
825	975	205
826	976	204
827	977	203
828	978	201
829	979	200
830	979	199
831	980	198
832	981	196
833	982	195
834	982	194
835	983	193
836	984	191
837	985	190
838	986	189
839	987	188
840	987	186
841	988	185
842	989	184
843	990	183
844	991	181
845	992	180
846	993	179
847	994	178
848	995	176
849	995	175
850	997	174
851	998	173
852	999	172
853	1000	170
854	1001	169
855	1002	168
856	1003	167
857	1004	166
858	1005	164
859	1006	163
860	1006	162
861	1008	161
862	1009	160
863	1010	158
864	1011	157
865	1011	156
866	1012	155
867	1013	154
868	1014	152
869	1015	151
870	1016	150
871	1017	149
872	1018	148
873	1018	146
874	1019	145
875	1020	144
876	1021	143
877	1022	142
878	1023	140
879	1023	139
880	1024	138
881	1025	137
882	1026	135
883	1027	134
884	1028	133
885	1029	132
886	1029	131
887	1030	130
888	1031	128
889	1032	127
890	1033	126
891	1034	125
892	1035	124
893	1036	122
894	1037	121
895	1037	120
896	1038	119
897	1039	118
898	1040	116
899	1041	115
900	1042	114
901	1043	113
902	1044	112
903	1045	110
904	1046	109
905	1047	108
906	1048	107
907	1049	106
908	1049	105
909	1050	103
910	1051	102
911	1051	101
912	1052	100
913	1053	99
914	1055	98
915	1056	96
916	1057	95
917	1058	94
918	1059	93
919	1060	92
920	1061	91
921	1062	89
922	1063	88
923	1064	87
924	1065	86
925	1066	85
926	1067	84
927	1068	82
928	1069	81
929	1070	80
930	1071	79
931	1072	78
932	1073	77
933	1074	75
934	1075	74
935	1076	73
936	1077	72
937	1078	71
938	1079	70
939	1080	68
940	1081	67
941	1082	66
942	1083	65
943	1084	64
944	1085	63
945	1086	62
946	1087	60
947	1088	59
948	1089	58
949	1090	57
950	1091	56
951	1093	55
952	1094	53
953	1095	52
954	1096	51
955	1097	50
956	1098	49
957	1099	48
958	1100	47
959	1102	45
960	1103	44
961	1104	43
962	1105	42
963	1105	41
964	1106	40
965	1107	38
966	1108	37
967	1109	36
968	1110	35
969	1111	34
970	1112	33
971	1113	32
972	1114	30
973	1115	29
974	1116	28
975	1117	27
976	1118	26
977	1119	25
978	1120	24
979	1121	22
980	1122	21
981	1124	20
982	1124	19
983	1125	18
984	1126	17
985	1127	16
986	1128	14
987	1129	13
988	1130	12
989	1131	11
990	1132	10
991	1134	9
992	1135	8
993	1136	6
994	1136	5
995	1137	4
996	1138	3
997	1139	2
998	1140	1
999	1141	0
